,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
57,31/03/2010,"R$ 603,26 B","R$ 18,51 B","R$ 4,26",1.670.037.000,2.677.178.000,2.677.178.000,4.347.215.000,0,0,0,0,1.670.037.000,2.677.178.000,4.347.215.000,3
58,31/12/2009,"R$ 625,65 B","R$ 17,23 B","R$ 4,43",1.491.119.000,2.394.766.000,2.394.766.000,3.885.885.000,0,4.405.000,4.405.000,4.405.000,1.491.119.000,2.390.361.000,3.881.480.000,3
59,30/09/2009,"R$ 638,73 B","R$ 16,59 B","R$ 4,27",1.491.119.000,2.394.766.000,2.394.766.000,3.885.885.000,0,4.405.000,4.405.000,4.405.000,1.491.119.000,2.390.361.000,3.881.480.000,3
60,30/06/2009,"R$ 402,12 B","R$ 17,21 B","R$ 4,43",1.491.119.000,2.394.766.000,2.394.766.000,3.885.885.000,0,4.405.000,4.405.000,4.405.000,1.491.119.000,2.390.361.000,3.881.480.000,3
61,31/03/2009,"R$ 349,10 B","R$ 16,59 B","R$ 4,27",1.491.119.000,2.394.766.000,2.394.766.000,3.885.885.000,0,4.405.000,4.405.000,4.405.000,1.491.119.000,2.390.361.000,3.881.480.000,3
62,31/12/2008,"R$ 332,86 B","R$ 15,79 B","R$ 4,48",1.344.649.000,2.184.260.000,2.184.260.000,3.528.909.000,0,21.700.000,21.700.000,21.700.000,1.344.649.000,2.162.560.000,3.507.209.000,3
63,30/09/2008,"R$ 300,04 B","R$ 15,68 B","R$ 4,44",1.344.649.000,2.184.260.000,2.184.260.000,3.528.909.000,0,2.500.000,2.500.000,2.500.000,1.344.649.000,2.181.760.000,3.526.409.000,3
64,30/06/2008,"R$ 303,62 B","R$ 15,23 B","R$ 4,32",1.344.649.000,2.184.260.000,2.184.260.000,3.528.909.000,0,0,0,0,1.344.649.000,2.184.260.000,3.528.909.000,3
65,31/03/2008,"R$ 260,23 B","R$ 14,56 B","R$ 4,13",1.344.649.000,2.184.260.000,2.184.260.000,3.528.909.000,0,0,0,0,1.344.649.000,2.184.260.000,3.528.909.000,3
66,31/12/2007,"R$ 262,80 B","R$ 13,62 B","R$ 4,27",1.210.037.000,1.979.866.000,1.979.866.000,3.189.903.000,0,14.271.000,14.271.000,14.271.000,1.210.037.000,1.965.595.000,3.175.632.000,3
