,Ticker,Nome
467,HDOF11,HEDGE DESENVOLVIMENTO LOGÍSTICO
468,ICNE11,ÍCONE FII
469,CIXM11,CIX MUIRAQUITAN FUNDO DE INVESTIMENTO IMOBILIÁRIO
470,NEXG11,NEX CRÉDITO FIAGRO IMOBILIÁRIO
471,DLMT11,DEL MONTE AJAX
472,ESTQ11,POLO ESTOQUE II
473,GWIR11,GWI RENDA IMOBILIÁRIA
474,PNLN11,PANORAMA LAST MILE SBC
475,PRZS11,PRAZO
476,TELD11,TELLUS DESENVOLVIMENTO LOGÍSTICO
477,SALI11,VENUS
478,BPLC11,BASÍLICA PARTNERS LED CORPORATE
479,ORPD11,OURO PRETO DESENVOLVIMENTO IMOBILIÁRIO I
480,JPPC11,JPP CAPITAL
481,BINC11,BRADESCO FIC RF INFRA CDI CRÉD PRIV
482,HRES11,FII HIRE RESIDENCIAL I
483,BIPD11,BRIO REAL ESTATE IV FII
484,VVMR11,FII MULTI RENDA URBANA
485,BLOG11,BLUECAP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO
486,AZPL11,AZ QUEST PANORAMA LOGÍSTICA FII
487,JSCR11,JS Recebíveis Imobiliários
488,RIFF11,RIFF FI-Infra
489,FISD11,SÃO DOMINGOS
490,DOMC11,REAG RENDA IMOBILIARIA
491,QMFF11,QUATÁ MONETAI FUNDO DE FUNDOS
492,MMVE11,MMVE OPORTUNIDADES IMOBILIÁRIAS
493,MTOF11,MULTIOFFICES 1
494,PURB11,PLURAL RENDA URBANA
495,RCRI11B,RB CAPITAL RENDIMENTOS
496,CYLD11,CYRELA DESENVOLVIMENTO LOGÍSTICO FII
497,INFB11,DRYS FIC DE FUNDOS INCENTIVADOS INV EM INFRA RF
498,IRIF11,Iridium FI-Infra
499,OCRE11,OCTO FDO DE INV IMOB
500,ONDV11,ONDA DESENVOLVIMENTO IMOBILIÁRIO FII
501,ASRF11,ASA RETROFITS I FUNDO DE INVESTIMENTO IMOBILIÁRIO
502,GCOI11,GALAPAGOS SPECIAL OPORTUNITIES FII
503,YEES11,HEDGE YEES HABITAÇÕES ECONÔMICAS FII DE RESP LIM
